GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
ENSG00000162591,1,3406484,3528059,92,18,46302,-0.74517,0.77192
ENSG00000207776,1,3477259,3477354,42,8,46350,0.38464,0.35025
ENSG00000238260,1,3539754,3541307,3,2,46350,-0.70473,0.75951
ENSG00000158109,1,3541566,3546691,11,5,46350,-1.215,0.88781
ENSG00000116213,1,3547331,3566637,7,3,46350,-1.0402,0.85087
ENSG00000078900,1,3569084,3652765,38,10,46350,-2.1071,0.98245
ENSG00000227589,1,3575502,3585336,14,4,46350,0.72291,0.23487
ENSG00000235131,1,3628764,3630862,4,1,46350,-0.11919,0.54744
ENSG00000227372,1,3652165,3653152,16,5,46350,0.09632,0.46163
ENSG00000162592,1,3668962,3688208,15,4,46350,-0.27525,0.60844
ENSG00000235169,1,3689352,3692546,11,5,46243,-1.2202,0.88881
ENSG00000130764,1,3695122,3713068,59,17,46219,0.35731,0.36043
ENSG00000266075,1,3699379,3699673,16,4,46350,-0.17955,0.57125
ENSG00000272153,1,3701572,3702102,15,3,46272,-0.22822,0.59026
ENSG00000116198,1,3728645,3773778,308,53,46222,-0.93337,0.82468
ENSG00000169598,1,3773831,3801993,71,11,46318,-1.5748,0.94235
ENSG00000198912,1,3805689,3816849,178,45,46220,-0.48915,0.68763
ENSG00000236423,1,3816936,3833789,1309,153,46222,0.14446,0.44257
ENSG00000233304,1,4000625,4015322,399,48,45893,1.0896,0.13795
ENSG00000226374,1,4004607,4009040,56,14,46350,0.29615,0.38356
ENSG00000229280,1,4235588,4235959,13,4,46234,-0.0028832,0.50115
ENSG00000235054,1,4472087,4484749,35,9,44551,1.4966,0.067245
ENSG00000227169,1,4611795,4612205,193,31,46337,0.12128,0.45173
ENSG00000232596,1,4631541,4654069,196,50,45927,1.8936,0.02914
ENSG00000196581,1,4714792,4852594,370,80,45862,0.095861,0.46182
ENSG00000231510,1,5146519,5150959,136,23,46283,-0.59615,0.72446
ENSG00000260972,1,5553038,5554734,19,4,46044,0.66152,0.25414
ENSG00000283356,1,5614807,5614941,53,5,46249,-0.20941,0.58294
ENSG00000236948,1,5621769,5728355,168,41,46291,1.9637,0.024785
ENSG00000264341,1,5624131,5624203,12,4,46350,1.6631,0.048142
ENSG00000216045,1,5875931,5876019,45,7,45934,-0.78275,0.78311
ENSG00000264101,1,5922732,5922801,12,5,46350,0.3774,0.35294
ENSG00000131697,1,5922878,6052533,290,51,46255,0.86462,0.19362
ENSG00000069424,1,6051526,6161253,655,88,46272,-0.072981,0.52909
ENSG00000116254,1,6161853,6240183,125,31,46075,-1.1202,0.86869
ENSG00000116251,1,6241329,6260902,103,21,46014,0.16482,0.43454
ENSG00000226944,1,6264900,6265840,7,2,46350,0.12328,0.45094
ENSG00000158286,1,6266236,6281359,19,5,46350,0.23394,0.40752
ENSG00000116237,1,6281253,6296000,95,21,46231,-0.8131,0.79192
ENSG00000225077,1,6296300,6299504,7,3,46350,0.076419,0.46954
ENSG00000173673,1,6304252,6305638,7,3,45643,0.99733,0.1593
ENSG00000158292,1,6307406,6321035,167,20,46252,-0.51041,0.69512
ENSG00000097021,1,6324329,6454451,125,17,46158,-0.32563,0.62765
ENSG00000271746,1,6453615,6454451,6,2,46350,-1.8552,0.96822
ENSG00000069812,1,6472478,6484730,32,6,46350,-0.69955,0.7579
ENSG00000187017,1,6484848,6521004,23,4,46254,-1.2316,0.89095
ENSG00000265392,1,6489894,6489956,44,10,46350,-1.3134,0.90548
ENSG00000231868,1,6503094,6507066,11,1,46350,-1.3033,0.90376
ENSG00000215788,1,6521211,6526255,13,3,46350,-1.0656,0.8567
ENSG00000171680,1,6526152,6580121,129,14,46300,0.75423,0.22535
ENSG00000162408,1,6581407,6614595,107,14,46145,0.83254,0.20255
ENSG00000253022,1,6600914,6601024,19,2,46350,1.023,0.15316
ENSG00000229519,1,6607965,6608679,9,2,46350,0.58669,0.2787
ENSG00000173662,1,6615241,6639817,23,6,45690,0.422,0.33651
ENSG00000204859,1,6640108,6649340,12,6,45541,0.50513,0.30673
ENSG00000162413,1,6650784,6674667,46,12,46164,1.0678,0.1428
ENSG00000116273,1,6673745,6684093,5,2,44643,0.70054,0.2418
ENSG00000041988,1,6684926,6695646,21,5,46294,0.37263,0.35471
ENSG00000007923,1,6694228,6761984,71,13,46333,0.066244,0.47359
ENSG00000228750,1,6784697,6790072,305,65,46158,0.28988,0.38595
ENSG00000239166,1,6812779,6812881,109,36,45925,0.7765,0.21873
ENSG00000237436,1,6843952,6844903,6,3,46350,-1.1844,0.88187
ENSG00000171735,1,6845384,7829766,1093,129,46093,0.099427,0.4604
ENSG00000227950,1,6894393,6894678,38,11,46201,-0.32109,0.62593
ENSG00000237365,1,7068436,7074339,14,6,45385,0.46667,0.32037
ENSG00000207056,1,7279420,7279584,168,27,46282,-0.45493,0.67542
ENSG00000237402,1,7429003,7430331,99,27,46208,-0.46319,0.67839
ENSG00000237728,1,7442548,7449814,60,6,46259,-0.073914,0.52946
ENSG00000225126,1,7501156,7501614,6,2,46350,-1.148,0.87452
ENSG00000270171,1,7753184,7754904,9,4,46350,1.2114,0.11287
ENSG00000270035,1,7758363,7758932,11,4,45636,1.2795,0.10037
ENSG00000269978,1,7760764,7761030,16,3,46350,0.87803,0.18996
ENSG00000049245,1,7831329,7841492,13,5,46350,0.91029,0.18133
ENSG00000269925,1,7836443,7836835,12,5,46150,1.4445,0.074302
ENSG00000049246,1,7844380,7905237,347,50,46222,-0.20218,0.58011
ENSG00000236266,1,7870302,7887402,16,6,46350,0.10052,0.45997
ENSG00000049247,1,7903143,7913572,54,14,46350,0.16217,0.43559
ENSG00000049249,1,7975954,8003225,58,16,46072,-0.42743,0.66547
ENSG00000270330,1,8002432,8002786,7,3,45867,-0.34508,0.63498
ENSG00000116288,1,8021723,8045565,356,41,46193,2.3557,0.0092443
ENSG00000200344,1,8042941,8043043,5,2,46350,0.83815,0.20097
ENSG00000116285,1,8064464,8086368,201,39,45912,2.6129,0.0044894
ENSG00000238290,1,8086798,8182762,110,20,46303,0.24497,0.40324
ENSG00000232848,1,8117305,8118523,26,5,46350,-1.0864,0.86135
ENSG00000229305,1,8249884,8252830,81,13,45820,-0.10954,0.54361
ENSG00000227634,1,8262489,8275270,17,3,46261,0.48513,0.31379
ENSG00000200975,1,8266494,8266657,7,2,46350,0.88488,0.18811
ENSG00000233645,1,8278250,8280589,148,17,46326,-0.60777,0.72833
ENSG00000265414,1,8335184,8335438,76,16,46305,-0.2761,0.60876
ENSG00000251977,1,8352217,8352323,54,10,46272,-0.59345,0.72356
ENSG00000162426,1,8377886,8404227,50,12,45826,-0.88425,0.81172
ENSG00000252254,1,8388127,8388239,6,2,46057,-0.39292,0.65281
ENSG00000142599,1,8412457,8877702,295,17,46193,2.0739,0.019043
ENSG00000232912,1,8484705,8494898,20,5,45620,1.5847,0.05652
ENSG00000221083,1,8571854,8571978,39,7,46350,1.0485,0.1472
ENSG00000270282,1,8572712,8573080,5,3,46350,0.94356,0.1727
ENSG00000234619,1,8810489,8811146,19,8,46339,1.9712,0.024348
ENSG00000224315,1,8846270,8846972,22,7,46340,2.1324,0.016488
ENSG00000222511,1,8856633,8856731,7,3,46350,2.6483,0.0040453
ENSG00000226545,1,8858534,8859565,10,4,46350,3.3154,0.00045751
ENSG00000228423,1,8865919,8867110,3,1,46350,2.631,0.0042572
ENSG00000229716,1,8891066,8891434,4,2,46350,2.8133,0.0024519
ENSG00000074800,1,8921061,8938749,6,3,46162,1.3864,0.082812
ENSG00000236269,1,8935847,8938066,6,2,46162,1.6586,0.048602
ENSG00000230679,1,8938894,8939953,6,2,46162,1.6586,0.048602
ENSG00000201725,1,8943486,8943592,8,3,46350,2.2382,0.012604
ENSG00000238249,1,8953468,8954210,74,25,46184,0.89567,0.18521
ENSG00000232208,1,8967452,8967803,200,51,46207,-1.0745,0.85871
ENSG00000232663,1,8969801,8969963,108,25,45872,-0.016428,0.50655
ENSG00000131686,1,9005941,9035151,123,26,46197,-0.10732,0.54273
ENSG00000265141,1,9039637,9039933,4,1,46350,0.31742,0.37546
ENSG00000197241,1,9063359,9086404,48,9,45720,-0.037637,0.51501
ENSG00000142583,1,9095166,9129775,30,7,46350,2.5722,0.0050521
ENSG00000252404,1,9142755,9142938,41,15,46350,1.257,0.10437
ENSG00000180758,1,9160364,9189229,39,11,46230,0.23984,0.40523
ENSG00000228526,1,9208070,9257042,50,17,46350,-0.53828,0.70481
ENSG00000234546,1,9242063,9256343,16,3,46350,0.79233,0.21408
ENSG00000281937,1,9257202,9258965,10,1,46350,0.7292,0.23294
ENSG00000049239,1,9294834,9331396,157,35,46251,-0.53663,0.70424
ENSG00000171621,1,9352939,9429591,102,25,46058,-0.4849,0.68613
ENSG00000252956,1,9497728,9497837,25,5,46039,0.34619,0.3646
ENSG00000235263,1,9561151,9563530,228,51,46194,-1.1969,0.88433
ENSG00000171612,1,9599541,9645237,115,33,46217,-0.22936,0.59071
ENSG00000231181,1,9636485,9637043,3,2,46350,-1.9267,0.97299
ENSG00000188807,1,9648980,9674907,100,28,45999,0.15325,0.4391
ENSG00000171608,1,9711790,9789172,143,36,46187,0.22715,0.41015
ENSG00000179840,1,9712668,9714644,9,4,45328,-0.1586,0.56301
ENSG00000233268,1,9720886,9722684,30,8,46055,0.59002,0.27759
ENSG00000231789,1,9732484,9747613,43,6,46350,-1.0898,0.8621
ENSG00000171603,1,9789084,9884584,65,16,46107,0.22645,0.41043
ENSG00000271264,1,9840880,9841298,12,3,46350,-0.39195,0.65245
ENSG00000280113,1,9886347,9888329,9,2,46350,0.11792,0.45306
ENSG00000178585,1,9908334,9970394,237,32,46091,-0.36732,0.64331
ENSG00000223989,1,9908376,9910212,6,1,46350,-0.41673,0.66156
ENSG00000162441,1,9988997,10003465,128,15,46157,-0.10476,0.54172
ENSG00000228150,1,10002981,10010032,38,7,46288,-1.0668,0.85697
ENSG00000173614,1,10003486,10045556,81,19,46321,-0.83069,0.79693
ENSG00000202415,1,10007376,10007694,4,2,46350,-0.70553,0.75976
ENSG00000283611,1,10011289,10020890,3,2,46350,-0.47824,0.68376
ENSG00000265521,1,10027439,10027516,35,8,45976,0.072945,0.47092
ENSG00000241326,1,10043199,10044626,6,2,46350,-0.61669,0.73128
ENSG00000162444,1,10057274,10076078,53,11,46350,0.50454,0.30694
ENSG00000130939,1,10092890,10241297,181,23,45665,1.073,0.14163
ENSG00000224340,1,10114503,10114839,39,4,46350,-0.39123,0.65218
ENSG00000233623,1,10118729,10119706,4,2,46350,0.11129,0.45569
ENSG00000201746,1,10223326,10223432,7,3,46350,0.71601,0.23699
ENSG00000054523,1,10270863,10441661,341,24,46259,-0.17635,0.56999
ENSG00000264881,1,10287776,10287861,9,4,46350,0.76219,0.22297
ENSG00000199562,1,10359024,10359130,6,2,46350,-0.66718,0.74767
ENSG00000264501,1,10366523,10366813,6,2,46350,0.44543,0.328
ENSG00000142657,1,10459137,10480201,116,25,46179,-0.88895,0.81298
ENSG00000271989,1,10489938,10490734,13,3,46128,-0.72693,0.76637
ENSG00000251503,1,10490159,10512210,17,3,46181,-0.61816,0.73177
ENSG00000175279,1,10490500,10502866,83,18,45950,0.58802,0.27826
ENSG00000241563,1,10509776,10511959,10,3,46350,-0.1179,0.54692
ENSG00000160049,1,10516579,10532583,135,25,45691,1.7056,0.044039
ENSG00000203469,1,10518612,10519395,3,1,46350,0.00037965,0.49985
ENSG00000142655,1,10534944,10690815,451,74,45924,-0.00073674,0.50029
ENSG00000130940,1,10696661,10856707,188,38,46059,-1.1616,0.8773
ENSG00000272078,1,10699298,10714390,16,4,46098,-0.20352,0.58064
ENSG00000225158,1,10955818,10956055,95,12,46096,-0.58435,0.72051
ENSG00000175262,1,11006530,11042094,152,29,46021,-0.78848,0.78479
ENSG00000215785,1,11051035,11051854,8,1,46350,0.075388,0.46995
ENSG00000207213,1,11059919,11060002,93,11,46350,1.3973,0.081164
ENSG00000120948,1,11072457,11086477,15,4,45999,0.97701,0.16428
ENSG00000277726,1,11072719,11090585,8,3,46350,0.37554,0.35363
ENSG00000009724,1,11086580,11107290,260,57,45969,1.5691,0.058307
ENSG00000271895,1,11089716,11090585,2,1,46350,1.129,0.12946
ENSG00000116649,1,11114646,11120081,194,39,45991,2.3408,0.0096207
ENSG00000171824,1,11126675,11159938,187,21,45715,2.5877,0.0048311
ENSG00000226849,1,11128528,11133154,23,2,45945,2.1103,0.017417
ENSG00000230337,1,11159732,11162157,7,2,44304,2.2882,0.011062
ENSG00000198793,1,11166592,11322564,458,46,46069,1.1739,0.12022
ENSG00000225602,1,11203955,11209594,3,1,45395,2.3963,0.00828
ENSG00000253086,1,11212407,11212509,5,1,44059,1.6189,0.052733
ENSG00000171819,1,11249398,11256038,56,3,43961,1.3645,0.086209
ENSG00000207451,1,11286311,11286417,9,2,45395,2.598,0.0046881
ENSG00000238173,1,11293020,11293169,10,2,45239,2.67,0.003792
ENSG00000120942,1,11333263,11355221,66,13,45637,0.64173,0.26052
ENSG00000238199,1,11338673,11339408,4,2,46350,0.49269,0.31112
ENSG00000224338,1,11485314,11485878,173,11,46272,-0.66815,0.74798
ENSG00000204624,1,11539295,11597641,250,33,45975,1.67,0.047462
ENSG00000235643,1,11669588,11673412,23,6,45976,2.0487,0.020243
ENSG00000116661,1,11708424,11714739,32,5,44918,1.453,0.073105
ENSG00000132879,1,11714432,11723384,11,4,46350,-0.85301,0.80317
ENSG00000116663,1,11724181,11734411,12,4,45601,-0.004317,0.50172
ENSG00000116670,1,11734537,11751707,15,5,46350,0.030826,0.4877
ENSG00000162490,1,11751786,11785914,27,6,46350,-2.1345,0.9836
ENSG00000177674,1,11796141,11810828,5,2,46350,2.1873,0.014362
ENSG00000215910,1,11821844,11849641,29,6,46350,1.344,0.08948
ENSG00000177553,1,11837134,11839676,33,5,46350,1.7049,0.044105
ENSG00000177000,1,11845780,11866115,38,7,46350,1.6562,0.04884
ENSG00000011021,1,11866153,11903201,269,35,46134,-0.93053,0.82395
ENSG00000242349,1,11901074,11908136,29,5,46248,0.6533,0.25678
ENSG00000175206,1,11905766,11908402,14,5,46350,1.6615,0.048311
ENSG00000120937,1,11917521,11918988,3,2,46350,-0.049585,0.51977
ENSG00000224904,1,11937827,11940463,62,12,46274,0.71956,0.2359
ENSG00000199347,1,11968209,11968328,30,7,46118,-0.79866,0.78776
ENSG00000201801,1,11969865,11969984,13,4,46350,-1.185,0.88199
ENSG00000116685,1,11979648,11986485,42,9,46070,-1.2208,0.88891
ENSG00000083444,1,11994810,12035594,103,20,46350,-1.3442,0.91055
ENSG00000116688,1,12040238,12073571,55,13,46183,-1.4324,0.92399
ENSG00000270914,1,12077273,12077365,6,1,46350,-0.66024,0.74545
ENSG00000116691,1,12079523,12092102,51,4,46350,0.17027,0.4324
ENSG00000202461,1,12084069,12084181,8,2,46350,-2.6564,0.99605
ENSG00000243539,1,12096799,12097071,5,2,46350,-0.33487,0.63114
ENSG00000120949,1,12123434,12204264,299,51,46271,-2.012,0.97789
ENSG00000201135,1,12137938,12138041,6,3,46350,1.4904,0.068059
ENSG00000227875,1,12140350,12140604,7,2,46350,-0.38482,0.64982
ENSG00000028137,1,12227060,12269285,100,19,46155,-0.30439,0.61959
ENSG00000263676,1,12251770,12251830,14,3,46350,-0.58598,0.72105
ENSG00000225196,1,12280851,12281166,94,19,46218,1.2859,0.099232
ENSG00000252969,1,12281205,12281328,3,2,42216,-0.56807,0.715
ENSG00000048707,1,12290124,12572099,260,51,46149,-2.3365,0.99027
ENSG00000239149,1,12567300,12567451,4,2,46350,-0.25753,0.60161
ENSG00000229484,1,12587766,12588462,9,4,45829,-0.3038,0.61936
ENSG00000162496,1,12627939,12677737,121,13,46192,-1.1188,0.86838
ENSG00000221340,1,12630000,12630100,10,3,46350,-1.8965,0.97105
ENSG00000272482,1,12678906,12679250,22,5,46350,-1.1713,0.87926
ENSG00000204518,1,12704566,12727097,63,12,46178,-1.181,0.8812
ENSG00000226166,1,12752925,12753036,2,1,46350,0.39992,0.34461
ENSG00000188984,1,12776146,12788367,178,14,46170,-1.3821,0.91653
ENSG00000238771,1,12799693,12799796,1,1,46350,-0.37239,0.6452
ENSG00000157330,1,12806163,12823847,49,6,46196,-0.30448,0.61962
ENSG00000116726,1,12834984,12838049,13,4,46350,-1.3979,0.91893
ENSG00000116721,1,12851546,12856777,112,16,46327,-0.031727,0.51266
ENSG00000228338,1,12882549,12883022,4,1,46350,-0.59501,0.72408
ENSG00000204513,1,12884468,12891264,210,30,46251,-0.83739,0.79881
ENSG00000231103,1,12897978,12901210,13,4,46350,0.10554,0.45797
ENSG00000179172,1,12907261,12908578,24,2,46350,-0.072435,0.52887
ENSG00000120952,1,12916941,12921764,229,51,46271,-0.12302,0.54896
ENSG00000243073,1,12939045,12946025,135,35,46259,-0.067872,0.52706
ENSG00000187545,1,12952727,12958101,97,23,46304,-0.73592,0.76911
ENSG00000204510,1,12976430,12980302,54,15,45999,-1.794,0.96359
ENSG00000232423,1,12998302,13007406,52,12,46081,0.35947,0.35962
ENSG00000204508,1,13035543,13038381,78,18,46205,0.50027,0.30844
ENSG00000277862,1,13162650,13165443,1,1,46350,-0.34965,0.6367
ENSG00000229978,1,13162851,13164468,49,9,46277,0.58048,0.2808
ENSG00000236179,1,13171871,13173157,29,7,46350,0.46888,0.31958
ENSG00000275774,1,13182968,13184326,4,1,46350,-1.2019,0.88529
ENSG00000179412,1,13182991,13183872,3,1,46350,-1.1624,0.87747
ENSG00000204502,1,13359819,13369057,111,15,46271,0.12757,0.44924
ENSG00000231219,1,13379149,13381237,11,3,46350,-1.6128,0.94661
ENSG00000204501,1,13421176,13428191,8,5,46350,0.42819,0.33426
ENSG00000204491,1,13474689,13477522,31,7,45977,0.76337,0.22262
ENSG00000204486,1,13516066,13526943,26,7,45962,-1.5188,0.93559
ENSG00000204480,1,13695525,13698151,40,9,46290,-0.20172,0.57993
ENSG00000204478,1,13736907,13747803,417,46,46160,0.36556,0.35735
ENSG00000162494,1,13801445,13840543,18,6,46350,-1.8024,0.96426
ENSG00000259961,1,13839715,13842765,8,2,46210,-0.90144,0.81632
ENSG00000215909,1,13881496,13882189,7,3,46350,-0.73372,0.76844
ENSG00000162493,1,13909960,13944452,26,8,46350,-0.61984,0.73232
ENSG00000222952,1,13949679,13949779,8,3,46061,-0.51752,0.69761
ENSG00000266358,1,13950397,13950497,34,10,46350,0.36084,0.35911
ENSG00000237445,1,13983806,13986405,45,8,46186,0.70839,0.23935
ENSG00000253085,1,14022565,14022694,10,4,45215,0.35495,0.36131
ENSG00000116731,1,14026735,14151574,208,40,46136,0.76352,0.22258
ENSG00000189337,1,14219287,15444539,1237,116,46253,1.2651,0.10292
ENSG00000252151,1,14450728,14450830,937,147,46274,0.72423,0.23446
ENSG00000231606,1,14548386,14549613,6,3,46350,-2.5461,0.99455
ENSG00000234593,1,14675450,14718071,45,13,45636,1.0653,0.14338
