GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
ENSG00000107404,1,1270656,1284730,1,1,41321,0.67103,0.2511
ENSG00000162576,1,1288069,1297157,19,3,47711,0.82686,0.20416
ENSG00000175756,1,1309110,1310875,15,3,47444,0.56429,0.28628
ENSG00000223663,1,1314046,1314412,9,1,48968,0.88778,0.18733
ENSG00000221978,1,1321875,1334697,21,6,49169,0.62411,0.26628
ENSG00000224870,1,1334902,1337426,11,4,46748,1.0798,0.14012
ENSG00000242485,1,1337288,1342693,9,2,48283,0.80163,0.21138
ENSG00000264293,1,1340841,1341132,2,1,48545,0.52436,0.30001
ENSG00000272455,1,1344476,1345998,11,2,46902,0.89955,0.18418
ENSG00000235098,1,1353800,1357149,9,2,45914,0.52683,0.29916
ENSG00000225905,1,1355625,1358071,36,7,41951,0.23016,0.40898
ENSG00000205116,1,1361508,1363167,6,2,41881,-0.21093,0.58353
ENSG00000225285,1,1365919,1369953,10,2,39846,-0.84258,0.80027
ENSG00000179403,1,1370903,1378262,8,1,40454,-0.75697,0.77546
ENSG00000215915,1,1385069,1405538,6,1,37389,-0.4457,0.67209
ENSG00000160072,1,1407149,1431582,57,14,45563,0.77097,0.22036
ENSG00000197785,1,1447531,1470067,11,3,44264,-0.095603,0.53808
ENSG00000205090,1,1470554,1475833,2,1,53293,-0.39474,0.65348
ENSG00000160075,1,1477053,1510249,41,9,51400,-0.58101,0.71938
ENSG00000215014,1,1510355,1512455,12,2,50356,0.1159,0.45387
ENSG00000189339,1,1590990,1624167,26,5,52887,-0.79403,0.78641
ENSG00000008128,1,1634169,1655763,7,1,37146,0.58994,0.27762
ENSG00000268575,1,1634175,1669127,12,2,37402,0.18148,0.42799
ENSG00000227775,1,1655951,1668690,12,2,37627,0.092024,0.46334
ENSG00000215790,1,1656277,1677431,41,8,43672,-0.075852,0.53023
ENSG00000008130,1,1682671,1711508,29,7,49594,-0.75933,0.77617
ENSG00000078369,1,1716724,1822556,38,6,52106,1.1791,0.11917
ENSG00000231050,1,1822910,1824097,4,2,53293,-1.098,0.86389
ENSG00000169885,1,1846266,1848733,20,4,45624,0.32449,0.37278
ENSG00000178821,1,1849029,1850712,11,3,49226,-0.30749,0.62077
ENSG00000142609,1,1853390,1935276,232,21,43792,1.319,0.093579
ENSG00000233542,1,1944652,1946969,6,2,41229,0.53172,0.29746
ENSG00000187730,1,1950737,1962197,4,1,41193,0.4303,0.33349
ENSG00000067606,1,2004901,2116829,59,15,50894,0.8588,0.19523
ENSG00000271806,1,2072523,2076718,19,3,51115,-0.88917,0.81304
ENSG00000182873,1,2113233,2115828,4,2,52698,-0.90308,0.81676
ENSG00000162585,1,2115900,2126214,30,7,46583,2.3265,0.0099961
ENSG00000269554,1,2121237,2123179,1,1,50914,-0.30969,0.6216
ENSG00000203301,1,2143360,2145620,10,3,50667,0.52388,0.30018
ENSG00000234396,1,2143962,2152177,7,3,48156,-0.34945,0.63663
ENSG00000157933,1,2160134,2241558,112,14,50466,0.49928,0.30879
ENSG00000116151,1,2252692,2323146,127,21,48382,-0.96369,0.8324
ENSG00000269896,1,2281853,2284259,13,3,47625,1.9983,0.022843
ENSG00000272420,1,2294500,2295067,4,2,40470,2.4953,0.0062931
ENSG00000157916,1,2323214,2336883,6,2,49604,-0.23632,0.59341
ENSG00000157911,1,2335403,2344010,154,33,50031,0.20987,0.41688
ENSG00000149527,1,2398898,2436965,123,17,46737,2.2213,0.013164
ENSG00000224387,1,2423739,2424697,8,3,41582,0.84876,0.19801
ENSG00000229393,1,2424876,2425918,10,3,40125,1.7517,0.039913
ENSG00000157881,1,2439972,2458067,3,2,42257,1.4948,0.067481
ENSG00000197921,1,2460184,2461684,101,16,49942,2.2077,0.013632
ENSG00000272449,1,2477904,2478899,2,1,46133,1.3971,0.081188
ENSG00000238164,1,2481359,2488470,12,2,50054,1.5879,0.056158
ENSG00000157873,1,2487661,2495268,8,2,50909,1.3116,0.094835
ENSG00000225931,1,2497849,2501327,88,14,49735,0.84199,0.1999
ENSG00000228037,1,2512999,2515972,13,3,52624,1.1643,0.12215
ENSG00000157870,1,2518189,2522907,51,4,52341,2.2022,0.013827
ENSG00000142606,1,2522082,2564429,27,6,48091,2.0906,0.018282
ENSG00000237058,1,2564007,2568059,9,3,51791,2.3224,0.010106
ENSG00000215912,1,2567415,2718282,120,23,49745,2.1932,0.014146
ENSG00000283259,1,2690149,2693019,14,4,49549,-0.74601,0.77217
ENSG00000233234,1,2728415,2729257,73,18,45514,-1.4045,0.91991
ENSG00000231630,1,2730997,2731563,55,14,49640,-0.6601,0.74541
ENSG00000169717,1,2938047,2939467,104,20,50624,1.153,0.12446
ENSG00000177133,1,2976179,2985001,68,12,51527,0.83666,0.20139
ENSG00000142611,1,2985732,3355185,443,37,49730,1.5615,0.059208
ENSG00000226286,1,3049491,3050273,128,25,44432,1.481,0.06931
ENSG00000279839,1,3122552,3125228,7,2,49948,0.29981,0.38216
ENSG00000272235,1,3223200,3226660,85,6,51182,0.34138,0.36641
ENSG00000130762,1,3370990,3397677,120,24,47308,-0.2491,0.59836
ENSG00000272088,1,3403810,3404191,2,1,44664,1.4718,0.070534
ENSG00000162591,1,3406484,3528059,68,12,51050,-0.12907,0.55135
ENSG00000207776,1,3477259,3477354,41,8,48247,0.33608,0.3684
ENSG00000238260,1,3539754,3541307,3,2,48232,0.56786,0.28507
ENSG00000158109,1,3541566,3546691,10,4,49339,0.071531,0.47149
ENSG00000116213,1,3547331,3566637,7,3,48608,-0.44257,0.67096
ENSG00000078900,1,3569084,3652765,13,3,40294,1.0813,0.13979
ENSG00000227589,1,3575502,3585336,10,3,45767,-0.57704,0.71804
ENSG00000227372,1,3652165,3653152,11,3,47121,-0.40938,0.65887
ENSG00000162592,1,3668962,3688208,14,4,47584,-0.137,0.55448
ENSG00000235169,1,3689352,3692546,11,5,51868,-0.78851,0.7848
ENSG00000130764,1,3695122,3713068,56,15,51731,-0.61411,0.73043
ENSG00000266075,1,3699379,3699673,16,4,53252,-0.89724,0.8152
ENSG00000272153,1,3701572,3702102,15,3,52660,-0.83654,0.79857
ENSG00000116198,1,3728645,3773778,292,49,51072,0.25842,0.39804
ENSG00000169598,1,3773831,3801993,63,9,51596,0.51678,0.30265
ENSG00000198912,1,3805689,3816849,171,42,51058,-0.68994,0.75488
ENSG00000236423,1,3816936,3833789,1131,131,51887,-0.92973,0.82374
ENSG00000233304,1,4000625,4015322,366,43,52578,-0.65362,0.74332
ENSG00000226374,1,4004607,4009040,40,9,48516,-0.31208,0.62251
ENSG00000229280,1,4235588,4235959,12,3,52148,-2.1228,0.98311
ENSG00000235054,1,4472087,4484749,24,5,53293,0.87007,0.19213
ENSG00000227169,1,4611795,4612205,178,27,51522,0.06787,0.47294
ENSG00000232596,1,4631541,4654069,160,40,51712,0.40051,0.34439
ENSG00000196581,1,4714792,4852594,269,56,50742,-0.43471,0.66811
ENSG00000231510,1,5146519,5150959,126,20,51940,0.38734,0.34925
ENSG00000260972,1,5553038,5554734,18,4,48932,1.6296,0.051594
ENSG00000283356,1,5614807,5614941,50,4,52486,-0.96096,0.83171
ENSG00000236948,1,5621769,5728355,160,38,51896,-1.216,0.888
ENSG00000264341,1,5624131,5624203,11,3,52416,-0.6083,0.72851
ENSG00000216045,1,5875931,5876019,41,6,51654,-0.36962,0.64417
ENSG00000264101,1,5922732,5922801,11,4,53293,-0.068773,0.52741
ENSG00000131697,1,5922878,6052533,252,43,51449,0.79679,0.21279
ENSG00000069424,1,6051526,6161253,487,64,49882,0.80443,0.21057
ENSG00000116254,1,6161853,6240183,99,23,49672,-0.64732,0.74129
ENSG00000116251,1,6241329,6260902,74,12,51650,-1.0673,0.85707
ENSG00000158286,1,6266236,6281359,2,1,42593,-0.32796,0.62853
ENSG00000116237,1,6281253,6296000,77,15,51556,-0.79816,0.78761
ENSG00000225077,1,6296300,6299504,2,1,41604,-0.18745,0.57435
ENSG00000173673,1,6304252,6305638,3,1,42723,0.34726,0.3642
ENSG00000158292,1,6307406,6321035,146,16,50653,0.18492,0.42665
ENSG00000097021,1,6324329,6454451,103,13,50991,0.52007,0.30151
ENSG00000271746,1,6453615,6454451,6,2,53293,-0.53726,0.70445
ENSG00000069812,1,6472478,6484730,32,6,51596,-0.28556,0.61239
ENSG00000187017,1,6484848,6521004,21,3,50056,-0.4826,0.68531
ENSG00000265392,1,6489894,6489956,42,9,51232,-0.66789,0.7479
ENSG00000231868,1,6503094,6507066,10,1,48231,-0.98536,0.83778
ENSG00000215788,1,6521211,6526255,11,3,49159,-1.1679,0.87857
ENSG00000171680,1,6526152,6580121,121,12,51581,-0.90552,0.8174
ENSG00000162408,1,6581407,6614595,90,9,51902,0.049399,0.4803
ENSG00000253022,1,6600914,6601024,19,2,53156,-0.19555,0.57752
ENSG00000229519,1,6607965,6608679,9,2,51818,-0.10711,0.54265
ENSG00000173662,1,6615241,6639817,21,5,51512,-0.16148,0.56414
ENSG00000204859,1,6640108,6649340,11,5,51494,-0.54933,0.70861
ENSG00000162413,1,6650784,6674667,44,11,50895,-0.59622,0.72449
ENSG00000116273,1,6673745,6684093,4,2,53293,-0.026366,0.51052
ENSG00000041988,1,6684926,6695646,20,4,52973,-0.23865,0.59431
ENSG00000007923,1,6694228,6761984,59,9,51808,-1.1267,0.87007
ENSG00000228750,1,6784697,6790072,263,54,50738,0.36853,0.35624
ENSG00000239166,1,6812779,6812881,77,25,50184,0.48166,0.31502
ENSG00000237436,1,6843952,6844903,6,3,53293,1.9892,0.023342
ENSG00000171735,1,6845384,7829766,998,122,51317,1.0466,0.14764
ENSG00000227950,1,6894393,6894678,34,9,50716,0.49402,0.31065
ENSG00000237365,1,7068436,7074339,13,6,53061,-0.36545,0.64261
ENSG00000207056,1,7279420,7279584,163,26,52186,1.7069,0.043921
ENSG00000237402,1,7429003,7430331,86,22,49325,-0.15422,0.56128
ENSG00000237728,1,7442548,7449814,57,5,52466,-0.30498,0.61981
ENSG00000225126,1,7501156,7501614,6,2,46651,-0.80994,0.79101
ENSG00000270171,1,7753184,7754904,9,4,52500,0.90882,0.18172
ENSG00000270035,1,7758363,7758932,9,3,53269,0.0025268,0.49899
ENSG00000269978,1,7760764,7761030,14,2,53108,-0.27111,0.60685
ENSG00000049245,1,7831329,7841492,12,4,53293,1.5593,0.059467
ENSG00000269925,1,7836443,7836835,12,5,51994,1.5319,0.062775
ENSG00000049246,1,7844380,7905237,333,47,52003,0.63039,0.26422
ENSG00000236266,1,7870302,7887402,16,6,53293,0.21675,0.4142
ENSG00000049247,1,7903143,7913572,53,14,52944,1.5483,0.060775
ENSG00000049249,1,7975954,8003225,54,14,50059,0.028144,0.48877
ENSG00000270330,1,8002432,8002786,6,2,49311,-1.2591,0.896
ENSG00000116288,1,8021723,8045565,332,37,50518,0.97515,0.16474
ENSG00000200344,1,8042941,8043043,5,2,52817,-0.22998,0.59095
ENSG00000116285,1,8064464,8086368,177,32,51870,0.54119,0.29419
ENSG00000238290,1,8086798,8182762,104,18,52761,-0.41549,0.66111
ENSG00000232848,1,8117305,8118523,22,4,52654,-0.28338,0.61156
ENSG00000229305,1,8249884,8252830,68,10,51729,0.6312,0.26395
ENSG00000227634,1,8262489,8275270,17,3,52057,-0.77541,0.78095
ENSG00000200975,1,8266494,8266657,7,2,52639,-2.0805,0.98126
ENSG00000233645,1,8278250,8280589,143,16,51183,-0.51233,0.69579
ENSG00000265414,1,8335184,8335438,67,13,52328,-0.95334,0.82979
ENSG00000251977,1,8352217,8352323,47,8,51409,-0.23066,0.59121
ENSG00000162426,1,8377886,8404227,46,11,51258,0.34864,0.36368
ENSG00000252254,1,8388127,8388239,6,2,49504,-0.34751,0.6359
ENSG00000142599,1,8412457,8877702,275,16,51946,0.5327,0.29712
ENSG00000232912,1,8484705,8494898,19,5,51281,0.1436,0.44291
ENSG00000221083,1,8571854,8571978,38,7,52997,0.76761,0.22136
ENSG00000270282,1,8572712,8573080,4,2,52698,-0.34053,0.63327
ENSG00000234619,1,8810489,8811146,18,7,51547,0.56454,0.28619
ENSG00000224315,1,8846270,8846972,20,6,51117,0.35576,0.36101
ENSG00000222511,1,8856633,8856731,7,3,52705,-0.48406,0.68583
ENSG00000226545,1,8858534,8859565,10,4,51226,0.1616,0.43581
ENSG00000228423,1,8865919,8867110,3,1,53293,1.6969,0.044857
ENSG00000229716,1,8891066,8891434,4,2,53293,1.4841,0.068886
ENSG00000074800,1,8921061,8938749,5,2,46541,-0.29414,0.61567
ENSG00000236269,1,8935847,8938066,6,2,47270,-0.51997,0.69846
ENSG00000230679,1,8938894,8939953,6,2,47270,-0.51997,0.69846
ENSG00000201725,1,8943486,8943592,7,2,51111,-1.1156,0.8677
ENSG00000238249,1,8953468,8954210,51,15,49223,-0.084817,0.5338
ENSG00000232208,1,8967452,8967803,157,37,50250,-0.3584,0.63998
ENSG00000232663,1,8969801,8969963,81,15,50497,0.0043184,0.49828
ENSG00000131686,1,9005941,9035151,110,22,50512,0.63135,0.26391
ENSG00000197241,1,9063359,9086404,43,7,49244,1.6163,0.05302
ENSG00000142583,1,9095166,9129775,30,7,52320,0.68107,0.24791
ENSG00000252404,1,9142755,9142938,31,11,50339,0.65095,0.25754
ENSG00000180758,1,9160364,9189229,32,8,47255,-0.77518,0.78088
ENSG00000228526,1,9208070,9257042,40,13,49351,-0.61495,0.73071
ENSG00000234546,1,9242063,9256343,16,3,50533,0.7049,0.24044
ENSG00000281937,1,9257202,9258965,10,1,53055,0.69431,0.24375
ENSG00000049239,1,9294834,9331396,131,27,50308,0.20736,0.41786
ENSG00000171621,1,9352939,9429591,82,18,45700,0.99899,0.1589
ENSG00000252956,1,9497728,9497837,23,4,51948,0.29155,0.38532
ENSG00000235263,1,9561151,9563530,192,39,50232,0.77401,0.21946
ENSG00000171612,1,9599541,9645237,91,24,48516,0.22955,0.40922
ENSG00000231181,1,9636485,9637043,3,2,50427,-0.20243,0.58021
ENSG00000188807,1,9648980,9674907,89,23,51838,0.73852,0.2301
ENSG00000171608,1,9711790,9789172,121,28,49968,0.70231,0.24124
ENSG00000179840,1,9712668,9714644,6,2,51707,-0.76391,0.77754
ENSG00000233268,1,9720886,9722684,26,6,53043,0.27897,0.39013
ENSG00000231789,1,9732484,9747613,41,5,52928,0.90618,0.18242
ENSG00000171603,1,9789084,9884584,60,14,50502,0.82937,0.20345
ENSG00000271264,1,9840880,9841298,11,3,50018,0.11014,0.45615
ENSG00000280113,1,9886347,9888329,8,2,50914,0.68938,0.24529
ENSG00000178585,1,9908334,9970394,214,27,52280,-0.027327,0.5109
ENSG00000223989,1,9908376,9910212,6,1,53293,0.52799,0.29875
ENSG00000162441,1,9988997,10003465,120,14,52764,0.21422,0.41519
ENSG00000228150,1,10002981,10010032,33,5,50951,1.447,0.07395
ENSG00000173614,1,10003486,10045556,73,16,50596,-0.3241,0.62707
ENSG00000202415,1,10007376,10007694,4,2,52104,-0.15293,0.56077
ENSG00000283611,1,10011289,10020890,3,2,53293,-1.2039,0.88569
ENSG00000265521,1,10027439,10027516,31,6,53047,0.011833,0.49528
ENSG00000241326,1,10043199,10044626,6,2,52500,0.38101,0.3516
ENSG00000162444,1,10057274,10076078,52,11,52742,-0.15616,0.56204
ENSG00000130939,1,10092890,10241297,172,21,52681,0.71809,0.23635
ENSG00000224340,1,10114503,10114839,36,4,53185,-0.82111,0.79421
ENSG00000233623,1,10118729,10119706,4,2,53044,-1.3263,0.90764
ENSG00000201746,1,10223326,10223432,7,3,53293,-0.69036,0.75502
ENSG00000054523,1,10270863,10441661,316,21,52428,-0.22018,0.58714
ENSG00000264881,1,10287776,10287861,9,4,52863,-0.73904,0.77006
ENSG00000199562,1,10359024,10359130,6,2,53210,-0.039265,0.51566
ENSG00000264501,1,10366523,10366813,5,2,53293,0.21383,0.41534
ENSG00000142657,1,10459137,10480201,106,22,52082,0.91603,0.17983
ENSG00000271989,1,10489938,10490734,13,3,51807,1.4593,0.072246
ENSG00000251503,1,10490159,10512210,17,3,51773,1.5607,0.0593
ENSG00000175279,1,10490500,10502866,78,16,51264,2.1274,0.016693
ENSG00000241563,1,10509776,10511959,9,2,52724,1.9255,0.027085
ENSG00000160049,1,10516579,10532583,115,19,49790,0.70145,0.24151
ENSG00000203469,1,10518612,10519395,3,1,53293,1.7038,0.044212
ENSG00000142655,1,10534944,10690815,331,49,49294,0.92033,0.1787
ENSG00000130940,1,10696661,10856707,145,26,48891,0.60904,0.27125
ENSG00000272078,1,10699298,10714390,13,3,46997,1.7761,0.037857
ENSG00000225158,1,10955818,10956055,88,10,52094,2.0953,0.018072
ENSG00000175262,1,11006530,11042094,132,23,51625,1.9746,0.024159
ENSG00000215785,1,11051035,11051854,8,1,43284,-0.91343,0.81949
ENSG00000207213,1,11059919,11060002,90,11,53287,0.65705,0.25557
ENSG00000120948,1,11072457,11086477,13,3,50379,0.48688,0.31317
ENSG00000277726,1,11072719,11090585,7,2,50050,0.21594,0.41452
ENSG00000009724,1,11086580,11107290,195,45,49571,-0.31903,0.62515
ENSG00000271895,1,11089716,11090585,2,1,53293,0.51235,0.3042
ENSG00000116649,1,11114646,11120081,107,18,48302,-0.071617,0.52855
ENSG00000171824,1,11126675,11159938,174,18,51632,1.0826,0.13949
ENSG00000226849,1,11128528,11133154,21,1,53081,0.24836,0.40193
ENSG00000230337,1,11159732,11162157,7,2,48637,1.387,0.082715
ENSG00000198793,1,11166592,11322564,414,37,51093,0.14533,0.44222
ENSG00000225602,1,11203955,11209594,3,1,51810,0.36334,0.35818
ENSG00000253086,1,11212407,11212509,5,1,48805,0.73518,0.23111
ENSG00000171819,1,11249398,11256038,53,2,48081,0.35639,0.36077
ENSG00000207451,1,11286311,11286417,9,2,50766,-0.35181,0.63751
ENSG00000238173,1,11293020,11293169,9,1,52451,-0.58079,0.71931
ENSG00000120942,1,11333263,11355221,54,9,51582,-0.38655,0.65046
ENSG00000238199,1,11338673,11339408,2,1,49065,-0.42524,0.66467
ENSG00000224338,1,11485314,11485878,160,9,51824,0.44096,0.32962
ENSG00000204624,1,11539295,11597641,208,26,49576,-0.2409,0.59518
ENSG00000235643,1,11669588,11673412,21,5,50810,-0.24793,0.5979
ENSG00000116661,1,11708424,11714739,22,2,47707,0.23006,0.40902
ENSG00000132879,1,11714432,11723384,3,1,40278,0.013276,0.4947
ENSG00000116663,1,11724181,11734411,6,2,41003,0.34676,0.36439
ENSG00000116670,1,11734537,11751707,2,1,42226,-0.59156,0.72293
ENSG00000162490,1,11751786,11785914,12,1,47963,0.63878,0.26148
ENSG00000177674,1,11796141,11810828,1,1,40067,0.90324,0.1832
ENSG00000215910,1,11821844,11849641,29,6,53211,0.87044,0.19203
ENSG00000177553,1,11837134,11839676,33,5,53293,1.1837,0.11826
ENSG00000177000,1,11845780,11866115,37,6,53107,1.3583,0.087191
ENSG00000011021,1,11866153,11903201,229,33,50891,0.16666,0.43382
ENSG00000242349,1,11901074,11908136,27,4,53293,-0.61684,0.73133
ENSG00000175206,1,11905766,11908402,13,4,52764,-0.32955,0.62913
ENSG00000120937,1,11917521,11918988,3,2,50696,-1.709,0.95628
ENSG00000224904,1,11937827,11940463,60,12,52462,0.34059,0.36671
ENSG00000199347,1,11968209,11968328,28,6,53108,0.40611,0.34233
ENSG00000201801,1,11969865,11969984,13,4,53076,-0.14576,0.55795
ENSG00000116685,1,11979648,11986485,38,8,50625,-0.99181,0.83935
ENSG00000083444,1,11994810,12035594,88,16,50118,-1.8123,0.96503
ENSG00000116688,1,12040238,12073571,50,11,50520,0.18311,0.42736
ENSG00000270914,1,12077273,12077365,6,1,50914,-0.47784,0.68362
ENSG00000116691,1,12079523,12092102,49,3,41469,0.58308,0.27992
ENSG00000202461,1,12084069,12084181,7,2,50189,0.71536,0.23719
ENSG00000243539,1,12096799,12097071,4,2,49433,1.2341,0.10858
ENSG00000120949,1,12123434,12204264,263,42,49788,-0.31023,0.62181
ENSG00000201135,1,12137938,12138041,3,2,46258,1.3508,0.088385
ENSG00000227875,1,12140350,12140604,3,1,47962,1.3902,0.082228
ENSG00000028137,1,12227060,12269285,80,13,49215,0.42173,0.33661
ENSG00000263676,1,12251770,12251830,13,3,50790,-1.111,0.86672
ENSG00000225196,1,12280851,12281166,80,15,48384,2.5135,0.0059772
ENSG00000252969,1,12281205,12281328,2,1,50914,2.499,0.0062278
ENSG00000048707,1,12290124,12572099,224,50,48955,0.70454,0.24055
ENSG00000239149,1,12567300,12567451,3,2,48957,1.0625,0.144
ENSG00000229484,1,12587766,12588462,5,3,46186,0.59466,0.27604
ENSG00000162496,1,12627939,12677737,102,9,51656,0.65231,0.2571
ENSG00000221340,1,12630000,12630100,10,3,50914,0.49467,0.31042
ENSG00000272482,1,12678906,12679250,18,3,52344,0.53709,0.2956
ENSG00000204518,1,12704566,12727097,37,5,51693,-0.34136,0.63358
ENSG00000226166,1,12752925,12753036,2,1,52104,-0.33897,0.63268
ENSG00000188984,1,12776146,12788367,140,11,46559,0.62212,0.26693
ENSG00000238771,1,12799693,12799796,1,1,53293,-0.65138,0.7426
ENSG00000157330,1,12806163,12823847,32,6,46577,0.53863,0.29507
ENSG00000116726,1,12834984,12838049,12,3,51707,0.5032,0.30741
ENSG00000116721,1,12851546,12856777,107,14,49802,1.5552,0.059948
ENSG00000228338,1,12882549,12883022,1,1,37573,2.5914,0.004779
ENSG00000204513,1,12884468,12891264,142,20,51132,0.67642,0.24939
ENSG00000231103,1,12897978,12901210,5,1,39895,0.30042,0.38193
ENSG00000179172,1,12907261,12908578,22,2,40306,0.37409,0.35417
ENSG00000120952,1,12916941,12921764,175,40,47338,1.5328,0.062662
ENSG00000243073,1,12939045,12946025,107,25,50859,1.2066,0.11379
ENSG00000187545,1,12952727,12958101,38,11,49559,0.23809,0.4059
ENSG00000204510,1,12976430,12980302,19,4,51216,-1.026,0.84756
ENSG00000232423,1,12998302,13007406,31,8,49912,0.534,0.29667
ENSG00000204508,1,13035543,13038381,73,16,53060,0.19583,0.42237
ENSG00000277862,1,13162650,13165443,1,1,38073,0.66915,0.2517
ENSG00000229978,1,13162851,13164468,36,5,53002,0.3735,0.35439
ENSG00000236179,1,13171871,13173157,25,5,44899,-0.33889,0.63266
ENSG00000275774,1,13182968,13184326,4,1,38947,0.56139,0.28727
ENSG00000179412,1,13182991,13183872,3,1,38739,0.38093,0.35163
ENSG00000204502,1,13359819,13369057,106,14,51645,-0.33478,0.6311
ENSG00000231219,1,13379149,13381237,11,3,52183,1.4489,0.073688
ENSG00000204501,1,13421176,13428191,4,2,50914,0.81261,0.20822
ENSG00000204491,1,13474689,13477522,27,5,53018,-1.3918,0.91801
ENSG00000204486,1,13516066,13526943,19,4,50100,-1.3183,0.9063
ENSG00000204480,1,13695525,13698151,37,8,53201,1.2315,0.10907
ENSG00000204478,1,13736907,13747803,378,39,52148,0.44268,0.329
ENSG00000162494,1,13801445,13840543,12,5,48989,0.95125,0.17074
ENSG00000259961,1,13839715,13842765,5,1,49470,0.6583,0.25517
ENSG00000215909,1,13881496,13882189,4,1,50228,-0.29452,0.61582
ENSG00000162493,1,13909960,13944452,24,7,51372,-1.3444,0.91058
ENSG00000222952,1,13949679,13949779,2,1,50914,-0.43854,0.6695
ENSG00000266358,1,13950397,13950497,31,8,52170,0.61173,0.27036
ENSG00000237445,1,13983806,13986405,36,5,51886,-0.15941,0.56333
ENSG00000253085,1,14022565,14022694,9,3,51258,-1.6504,0.95057
ENSG00000116731,1,14026735,14151574,194,35,52062,-0.21899,0.58667
ENSG00000189337,1,14219287,15444539,1130,103,52052,0.88914,0.18696
ENSG00000252151,1,14450728,14450830,718,114,49724,-0.36513,0.64249
ENSG00000231606,1,14548386,14549613,5,2,53293,1.2783,0.10057
ENSG00000234593,1,14675450,14718071,29,7,49902,2.0117,0.022125
ENSG00000235829,1,15018625,15019109,56,10,48319,0.50719,0.30601
ENSG00000175147,1,15438311,15478960,180,31,49544,-0.32393,0.627
ENSG00000171729,1,15479028,15546976,239,32,52359,-0.045063,0.51797
ENSG00000204464,1,15490840,15497813,56,12,51844,0.66542,0.25289
ENSG00000215720,1,15518324,15519341,145,18,52955,-0.17565,0.56972
ENSG00000278480,1,15552869,15554045,21,4,53019,-0.31859,0.62498
ENSG00000142621,1,15573768,15724622,426,64,50689,0.64383,0.25984
ENSG00000233485,1,15653176,15670372,4,1,49234,0.45636,0.32407
ENSG00000236045,1,15660662,15661960,6,2,53293,0.38849,0.34883
ENSG00000228140,1,15729475,15735929,19,4,51185,2.1785,0.014685
ENSG00000142634,1,15736391,15756839,19,6,50024,-0.9281,0.82332
ENSG00000162438,1,15764935,15775737,7,3,49751,-1.1226,0.86919
ENSG00000142615,1,15783224,15798586,61,11,52326,0.31518,0.37631
ENSG00000215704,1,15802596,15817895,13,3,50284,-0.44815,0.67298
ENSG00000132906,1,15817327,15851221,96,10,52625,-1.0415,0.85117
ENSG00000116138,1,15853308,15902587,242,41,49732,-1.4886,0.93171
