ensembl_gene_id,hgnc_symbol,chromosome_name,start_position,end_position,strand,band,gene_biotype
ENSG00000234706,PRUNEP1,13,26691686,26693102,-1,q12.13,pseudogene
ENSG00000228808,HMGB3P4,13,100024427,100024940,1,q32.3,pseudogene
ENSG00000271559,,13,26803469,26803781,-1,q12.13,pseudogene
ENSG00000238241,CCR12P,13,100060035,100061316,-1,q32.3,pseudogene
ENSG00000227882,PRKRIRP6,13,26808350,26811266,1,q12.13,pseudogene
ENSG00000266207,,13,100105650,100105723,-1,q32.3,miRNA
ENSG00000203441,LINC00449,13,100151981,100153306,-1,q32.3,antisense
ENSG00000234031,RPS3AP44,13,27151023,27151812,1,q12.13,pseudogene
ENSG00000212197,RNY3P6,13,100188573,100188650,-1,q32.3,misc_RNA
ENSG00000234168,LINC01039,13,100229366,100232622,1,q32.3,lincRNA
ENSG00000237001,WASF3-AS1,13,27180681,27215501,-1,q12.13,antisense
ENSG00000234239,CFL1P8,13,100234960,100235434,1,q32.3,pseudogene
ENSG00000230256,FGFR1OP2P1,13,27479499,27479998,1,q12.13,pseudogene
ENSG00000223782,RPS21P8,13,27551680,27551926,1,q12.13,pseudogene
ENSG00000263615,MIR4306,13,100295313,100295403,1,q32.3,miRNA
ENSG00000218198,RPS20P32,13,27591688,27592046,-1,q12.13,pseudogene
ENSG00000227659,CLYBL-AS2,13,100342335,100343225,-1,q32.3,antisense
ENSG00000232162,USP12-AS1,13,27736992,27743272,1,q12.13,antisense
ENSG00000234303,CLYBL-AS1,13,100378501,100379745,-1,q32.3,antisense
ENSG00000230641,USP12-AS2,13,27746396,27757135,1,q12.13,antisense
ENSG00000234772,LINC00412,13,27810419,27810948,-1,q12.2,antisense
ENSG00000201245,,13,100436111,100436237,-1,q32.3,snoRNA
ENSG00000238305,,13,100436308,100436411,-1,q32.3,snoRNA
ENSG00000207500,SNORD102,13,27829201,27829272,1,q12.2,snoRNA
ENSG00000260738,LINC00554,13,100647153,100650163,-1,q32.3,antisense
ENSG00000207051,SNORA27,13,27829538,27829663,1,q12.2,snoRNA
ENSG00000221756,,13,27894150,27894296,1,q12.2,miRNA
ENSG00000225999,NDUFA12P1,13,100680023,100680428,-1,q32.3,pseudogene
ENSG00000252247,RNU6-70P,13,27917785,27917883,-1,q12.2,snRNA
ENSG00000229609,LINC01079,13,27947485,27948503,1,q12.2,lincRNA
ENSG00000236554,ASNSP3,13,100714550,100715855,-1,q32.3,pseudogene
ENSG00000201242,RNY1P1,13,27976613,27976724,-1,q12.2,misc_RNA
ENSG00000203602,,13,28008286,28008752,-1,q12.2,pseudogene
ENSG00000252499,RNU6-63P,13,28062275,28062369,1,q12.2,snRNA
ENSG00000228501,RPL15P18,13,100802735,100803346,-1,q32.3,pseudogene
ENSG00000226703,NPM1P4,13,28270530,28271341,-1,q12.2,pseudogene
ENSG00000270632,,13,100850441,100850723,-1,q32.3,pseudogene
ENSG00000207330,RNU6-73P,13,28402900,28403006,1,q12.2,snRNA
ENSG00000234650,PCCA-AS1,13,101116694,101133411,-1,q32.3,antisense
ENSG00000247381,PDX1-AS1,13,28407581,28495541,-1,q12.2,antisense
ENSG00000260704,LINC00543,13,28527663,28529507,1,q12.2,lincRNA
ENSG00000242360,RN7SL272P,13,28563435,28563721,-1,q12.2,misc_RNA
ENSG00000224356,,13,101187995,101232371,-1,q32.3,sense_intronic
ENSG00000271026,KATNBL1P1,13,28641724,28642471,1,q12.2,pseudogene
ENSG00000235115,CHCHD2P8,13,28681568,28682014,1,q12.2,pseudogene
ENSG00000234354,RPS26P47,13,101192089,101192528,-1,q32.3,pseudogene
ENSG00000261485,PAN3-AS1,13,28710980,28712330,-1,q12.2,antisense
ENSG00000237082,COX5BP6,13,101276129,101276683,-1,q32.3,pseudogene
ENSG00000232587,EEF1A1P3,13,28788650,28790034,1,q12.2,pseudogene
ENSG00000200840,RNU6-82P,13,28806638,28806744,1,q12.2,snRNA
ENSG00000233009,NALCN-AS1,13,101360579,101711638,1,q32.3,antisense
ENSG00000235472,EIF4A1P7,13,29172970,29174189,1,q12.3,pseudogene
ENSG00000202237,RNU6-53P,13,29277839,29277944,-1,q12.3,snRNA
ENSG00000214051,ARF4P3,13,101408805,101409313,-1,q32.3,pseudogene
ENSG00000233588,CYP51A1P2,13,29296523,29298158,-1,q12.3,pseudogene
ENSG00000229599,LINC00411,13,101593116,101596618,-1,q32.3,lincRNA
ENSG00000236339,POM121L13P,13,29352695,29353074,1,q12.3,pseudogene
ENSG00000272349,,13,102369198,102369728,-1,q33.1,lincRNA
ENSG00000221670,,13,29796699,29796778,1,q12.3,miRNA
ENSG00000201155,RNU1-24P,13,102431234,102431398,-1,q33.1,snRNA
ENSG00000236758,MTUS2-AS2,13,29813516,29824691,-1,q12.3,antisense
ENSG00000215399,HMGB3P7,13,102454228,102454838,1,q33.1,pseudogene
ENSG00000265164,MIR2681,13,102619992,102620096,-1,q33.1,miRNA
ENSG00000223460,GAPDHP69,13,29880915,29881922,1,q12.3,pseudogene
ENSG00000229975,LIPT1P1,13,102654475,102655660,1,q33.1,pseudogene
ENSG00000270680,,13,29913703,29914006,-1,q12.3,pseudogene
ENSG00000201690,RNY1P2,13,102669303,102669419,-1,q33.1,misc_RNA
ENSG00000179141,MTUS2-AS1,13,30050652,30064242,-1,q12.3,antisense
ENSG00000264482,MIR4705,13,102698284,102698354,-1,q33.1,miRNA
ENSG00000236860,RPL39P29,13,102915396,102915552,-1,q33.1,pseudogene
ENSG00000236258,TIMM8BP1,13,30440096,30440306,-1,q12.3,pseudogene
ENSG00000224329,LINC00297,13,30446750,30462542,-1,q12.3,lincRNA
ENSG00000243319,FGF14-IT1,13,102944677,103046869,-1,q33.1,lincRNA
ENSG00000224405,LINC00572,13,30492784,30500788,-1,q12.3,antisense
ENSG00000234445,FGF14-AS1,13,103019889,103026016,1,q33.1,antisense
ENSG00000122043,LINC00544,13,30510042,30524625,1,q12.3,lincRNA
ENSG00000272143,FGF14-AS2,13,103046980,103048053,1,q33.1,lincRNA
ENSG00000266505,,13,30596158,30597937,-1,q12.3,lincRNA
ENSG00000270581,,13,103053821,103054807,-1,q33.1,processed_transcript
ENSG00000261057,LINC00555,13,103241722,103242163,-1,q33.1,antisense
ENSG00000224511,LINC00365,13,30677315,30683012,-1,q12.3,lincRNA
ENSG00000269942,,13,103331776,103332308,1,q33.1,lincRNA
ENSG00000232117,LINC00384,13,30726023,30733758,-1,q12.3,lincRNA
ENSG00000238869,,13,103374152,103374255,1,q33.1,snoRNA
ENSG00000231633,LINC00283,13,103395340,103397574,1,q33.1,antisense
ENSG00000232643,LINC00385,13,30728203,30728723,1,q12.3,lincRNA
ENSG00000222301,RNY5P8,13,103472343,103472419,1,q33.1,misc_RNA
ENSG00000266816,,13,30780753,30780836,-1,q12.3,miRNA
ENSG00000252928,RNU6-64P,13,30855902,30856006,1,q12.3,snRNA
ENSG00000250878,METTL21EP,13,103532449,103548383,1,q33.1,pseudogene
ENSG00000215049,PRDX2P1,13,30870284,30870872,1,q12.3,pseudogene
ENSG00000272542,,13,103541208,103542184,1,q33.1,lincRNA
ENSG00000236463,LINC00427,13,30890497,30894040,-1,q12.3,lincRNA
ENSG00000234551,,13,104077550,104080035,1,q33.1,lincRNA
ENSG00000230474,ATP6V1G1P7,13,104096970,104097318,-1,q33.1,pseudogene
ENSG00000225823,RPL7P45,13,105466678,105467420,1,q33.2,pseudogene
ENSG00000232307,DAOA-AS1,13,106111404,106158030,-1,q33.2,antisense
ENSG00000238121,LINC00426,13,30914407,30951282,-1,q12.3,lincRNA
ENSG00000226620,LINC00343,13,106356629,106416789,1,q33.2,processed_transcript
ENSG00000225039,LINC01058,13,30993656,30996374,-1,q12.3,lincRNA
ENSG00000252550,,13,106549872,106549992,-1,q33.2,snoRNA
ENSG00000236444,UBE2L5P,13,31002084,31002656,1,q12.3,pseudogene
ENSG00000222643,,13,106780720,106780837,1,q33.2,miRNA
ENSG00000222682,RNA5SP38,13,106807721,106807839,-1,q33.2,rRNA
ENSG00000213411,RBM22P2,13,31113734,31117598,-1,q12.3,pseudogene
ENSG00000233532,LINC00460,13,107028911,107030565,1,q33.3,lincRNA
ENSG00000232489,MFAP1P1,13,31115780,31117034,-1,q12.3,pseudogene
ENSG00000174418,RPL35P9,13,107078121,107078470,1,q33.3,pseudogene
ENSG00000224117,PTPN2P2,13,31127807,31128830,1,q12.3,pseudogene
ENSG00000272274,LINC00551,13,107270158,107283707,1,q33.3,lincRNA
ENSG00000230156,LINC00443,13,107306264,107324511,1,q33.3,lincRNA
ENSG00000237879,LINC00398,13,31377343,31384782,1,q12.3,lincRNA
ENSG00000227590,ATP5G1P5,13,107315785,107316195,1,q33.3,pseudogene
ENSG00000174408,PPIAP24,13,107516164,107516634,-1,q33.3,pseudogene
ENSG00000224743,TEX26-AS1,13,31456070,31507983,-1,q12.3,antisense
ENSG00000196777,,13,107594562,107594907,-1,q33.3,pseudogene
ENSG00000239050,,13,107627286,107627374,-1,q33.3,miRNA
ENSG00000221316,,13,107773381,107773471,1,q33.3,miRNA
ENSG00000201847,,13,107973243,107973311,-1,q33.3,snoRNA
ENSG00000221650,MIR1267,13,108183519,108183596,-1,q33.3,miRNA
ENSG00000221473,,13,108288379,108288464,1,q33.3,miRNA
ENSG00000227248,FAM155A-IT1,13,108440690,108487799,-1,q33.3,sense_intronic
ENSG00000223177,RNA5SP39,13,108953560,108953679,-1,q33.3,rRNA
ENSG00000232087,HCFC2P1,13,109132574,109134165,1,q33.3,pseudogene
ENSG00000229938,MYO16-AS2,13,109753609,109754267,-1,q33.3,antisense
ENSG00000236094,LINC00545,13,31456688,31457532,1,q12.3,lincRNA
ENSG00000236242,MYO16-AS1,13,109816250,109853831,-1,q33.3,antisense
ENSG00000238185,,13,31547426,31551760,-1,q12.3,antisense
ENSG00000223617,LINC00370,13,109934321,109940081,1,q33.3,lincRNA
ENSG00000230233,,21,19986749,20022678,1,q21.1,lincRNA
ENSG00000230403,LINC01066,13,31569299,31570275,-1,q12.3,lincRNA
ENSG00000236053,LINC01067,13,109962483,109964121,1,q33.3,lincRNA
ENSG00000265841,MIR548X,21,20058408,20058482,-1,q21.1,miRNA
ENSG00000231894,WDR95P,13,31651391,31689836,1,q12.3,pseudogene
ENSG00000229792,LINC00399,13,110053043,110053988,1,q33.3,lincRNA
ENSG00000221041,,21,20076689,20076772,-1,q21.1,miRNA
ENSG00000234854,LINC00676,13,110380629,110382354,1,q34,antisense
ENSG00000198618,PPIAP22,21,20230097,20230594,1,q21.1,pseudogene
ENSG00000229427,ANKRD26P4,13,31885426,31887058,1,q12.3,pseudogene
ENSG00000255813,,13,110407168,110407615,-1,q34,pseudogene
ENSG00000201161,RN7SKP10,13,110567443,110567767,1,q34,misc_RNA
ENSG00000231428,LINC00396,13,110705632,110707299,1,q34,lincRNA
ENSG00000232193,,21,20290252,20308177,-1,q21.1,lincRNA
ENSG00000229715,EEF1DP3,13,32420978,32527609,1,q13.1,pseudogene
ENSG00000226204,,21,20325582,20339376,-1,q21.1,lincRNA
ENSG00000265885,RN7SL783P,13,110750200,110750498,-1,q34,misc_RNA
ENSG00000238629,,13,111066552,111066653,1,q34,snoRNA
ENSG00000235965,,21,20418629,20420003,-1,q21.1,lincRNA
ENSG00000224821,COL4A2-AS2,13,111108743,111115634,-1,q34,antisense
ENSG00000235822,LINC01073,13,32559822,32565134,1,q13.1,lincRNA
ENSG00000229289,,21,20502841,20506741,1,q21.1,lincRNA
ENSG00000237637,FRY-AS1,13,32599451,32605776,-1,q13.1,antisense
ENSG00000232814,COL4A2-AS1,13,111154922,111160526,-1,q34,antisense
ENSG00000226818,SLC6A6P1,21,20616860,20618709,1,q21.1,pseudogene
ENSG00000230633,,13,32872291,32872849,1,q13.1,antisense
ENSG00000255831,,13,111291555,111292340,1,q34,pseudogene
ENSG00000231620,,21,20673930,20676056,1,q21.1,lincRNA
ENSG00000215515,IFIT1P1,13,32958797,32960245,1,q13.1,pseudogene
ENSG00000225239,RPL21P107,13,111415021,111415480,-1,q34,pseudogene
ENSG00000212609,RNU1-139P,21,20717465,20717629,1,q21.1,snRNA
ENSG00000259831,LINC00567,13,111462023,111465431,-1,q34,lincRNA
ENSG00000212293,,13,32994527,32994653,-1,q13.1,snoRNA
ENSG00000230198,RPL37P4,21,20966155,20966422,1,q21.1,pseudogene
ENSG00000270008,,13,32999495,33007091,-1,q13.1,processed_transcript
ENSG00000229152,ANKRD10-IT1,13,111547406,111551519,-1,q34,sense_intronic
ENSG00000271486,,21,20993009,20993859,1,q21.1,pseudogene
ENSG00000229336,,21,21112023,21112464,1,q21.1,pseudogene
ENSG00000229800,ATP8A2P2,13,33051411,33052978,1,q13.1,pseudogene
ENSG00000227105,PARP1P1,13,111589106,111592131,1,q34,pseudogene
ENSG00000215353,C1QBPP,21,21131673,21132442,-1,q21.1,pseudogene
ENSG00000233480,,21,21265593,21272069,-1,q21.1,lincRNA
ENSG00000225760,LINC00431,13,111635654,111642911,1,q34,lincRNA
ENSG00000233236,,21,21629065,21631133,-1,q21.1,lincRNA
ENSG00000225870,LINC00368,13,111748185,111755444,1,q34,lincRNA
ENSG00000251851,RNU6-772P,21,21728060,21728164,-1,q21.1,snRNA
ENSG00000252963,RN7SKP147,21,21728965,21729208,1,q21.1,misc_RNA
ENSG00000235875,ARHGEF7-AS2,13,111766159,111768025,-1,q34,antisense
ENSG00000207325,RNY1P4,13,33337576,33337690,-1,q13.1,misc_RNA
ENSG00000233676,FDPSP6,21,21760646,21761157,1,q21.1,pseudogene
ENSG00000226968,LINC00423,13,33451569,33485788,-1,q13.1,lincRNA
ENSG00000233644,ARHGEF7-IT1,13,111774999,111796611,1,q34,sense_intronic
ENSG00000234439,KRT18P2,21,21797261,21798518,-1,q21.1,pseudogene
ENSG00000227352,ARHGEF7-AS1,13,111796652,111797080,-1,q34,antisense
ENSG00000227604,TOMM22P3,13,33528195,33528539,-1,q13.1,pseudogene
ENSG00000233206,RPS3AP1,21,21802755,21803074,-1,q21.1,pseudogene
ENSG00000221677,,13,33615489,33615580,1,q13.1,miRNA
ENSG00000215881,,13,112248356,112294426,1,q34,sense_overlapping
ENSG00000230300,STARD13-IT1,13,33732724,33738546,-1,q13.1,sense_intronic
ENSG00000226903,LINC00354,13,112554299,112555490,1,q34,lincRNA
ENSG00000224924,LINC00320,21,22114908,22175534,-1,q21.1,lincRNA
ENSG00000264989,,13,112563079,112563148,-1,q34,miRNA
ENSG00000200072,,13,112706392,112706452,1,q34,snoRNA
ENSG00000260385,,13,112737863,112739785,1,q34,lincRNA
ENSG00000229520,LINC00404,13,112760409,112761196,-1,q34,lincRNA
ENSG00000215351,PPIAP1,21,22200445,22200940,-1,q21.1,pseudogene
ENSG00000224243,LINC00403,13,112761433,112762329,1,q34,lincRNA
ENSG00000226771,,21,22595616,22599150,-1,q21.1,antisense
ENSG00000260102,LINC01070,13,112851664,112855314,1,q34,lincRNA
ENSG00000221210,,21,22770068,22770146,-1,q21.1,miRNA
ENSG00000234730,,21,22939084,22987758,1,q21.1,lincRNA
ENSG00000260343,LINC01043,13,112967781,112976072,1,q34,lincRNA
ENSG00000198434,,21,23006773,23007049,-1,q21.1,pseudogene
ENSG00000223626,LINC01044,13,112976881,112985539,-1,q34,lincRNA
ENSG00000237527,,21,23027359,23058649,-1,q21.1,lincRNA
ENSG00000264726,,13,113372159,113372228,-1,q34,miRNA
ENSG00000232684,ATP11A-AS1,13,113399763,113409007,-1,q34,antisense
ENSG00000238265,LINC00317,21,23095613,23109639,-1,q21.1,lincRNA
ENSG00000234603,,13,113539551,113539994,1,q34,pseudogene
ENSG00000236581,STARD13-AS,13,33845516,33855471,1,q13.1,processed_transcript
ENSG00000267868,,13,113619149,113620445,-1,q34,lincRNA
ENSG00000188403,IGHV1OR15-9,15,20169919,20170354,-1,q11.1,IG_V_gene
ENSG00000235280,MCF2L-AS1,13,113621798,113623138,-1,q34,antisense
ENSG00000269356,,13,113663092,113663738,1,q34,sense_intronic
ENSG00000233997,,21,23119293,23169735,1,q21.1,lincRNA
ENSG00000269376,,13,113663985,113664633,1,q34,sense_intronic
ENSG00000231882,F10-AS1,13,113782469,113783194,-1,q34,antisense
ENSG00000230371,KARSP2,13,113784730,113786368,1,q34,pseudogene
ENSG00000259490,IGHV3OR15-7,15,20192909,20193370,-1,q11.1,IG_V_gene
ENSG00000269125,,13,113819316,113819497,-1,q34,antisense
ENSG00000227075,,21,23305635,23348000,-1,q21.1,lincRNA
ENSG00000232662,LDHBP1,13,113930931,113932049,1,q34,pseudogene
ENSG00000270961,IGHD5OR15-5A,15,20209093,20209115,-1,q11.1,IG_D_gene
ENSG00000225083,GRTP1-AS1,13,114005988,114016183,1,q34,antisense
ENSG00000233215,,21,23381263,23470778,-1,q21.1,lincRNA
ENSG00000233613,DCUN1D2-AS,13,114123216,114130450,1,q34,antisense
ENSG00000271317,IGHD4OR15-4A,15,20210050,20210068,-1,q11.1,IG_D_gene
ENSG00000202347,RNU1-16P,13,114133230,114133393,-1,q34,snRNA
ENSG00000227208,LINC00552,13,114451484,114454062,-1,q34,pseudogene
ENSG00000270783,IGHD3OR15-3A,15,20211158,20211188,-1,q11.1,IG_D_gene
ENSG00000233695,GAS6-AS1,13,114518603,114542321,1,q34,antisense
ENSG00000271197,IGHD2OR15-2A,15,20213655,20213685,-1,q11.1,IG_D_gene
ENSG00000272695,GAS6-AS2,13,114567141,114569806,1,q34,lincRNA
ENSG00000184856,LINC00308,21,23470936,23488847,1,q21.1,lincRNA
ENSG00000227911,,13,33907816,33909414,-1,q13.1,lincRNA
ENSG00000237699,,13,114580581,114582349,1,q34,lincRNA
ENSG00000271336,IGHD1OR15-1A,15,20216406,20216422,-1,q11.1,IG_D_gene
ENSG00000264288,,13,33911020,33911109,-1,q13.1,miRNA
ENSG00000265259,RN7SL247P,18,21852889,21853170,-1,q11.2,misc_RNA
ENSG00000234340,,21,23507018,23508403,-1,q21.1,pseudogene
ENSG00000230490,,13,33929343,34250905,-1,q13.2,lincRNA
ENSG00000212051,MIR320C2,18,21901650,21901699,1,q11.2,miRNA
ENSG00000226921,LINC00454,13,114581673,114586624,-1,q34,lincRNA
ENSG00000264365,,18,21944751,21947948,1,q11.2,antisense
ENSG00000273321,,18,21982117,21982678,1,q11.2,lincRNA
ENSG00000234535,,13,34185104,34185659,1,q13.2,lincRNA
ENSG00000232986,,13,34231573,34234065,1,q13.2,lincRNA
ENSG00000199636,,18,22009469,22009573,1,q11.2,misc_RNA
ENSG00000265094,,18,22015328,22019602,1,q11.2,sense_intronic
ENSG00000252397,RNU5A-4P,13,34403676,34403786,-1,q13.2,snRNA
ENSG00000263663,,13,34486129,34486218,1,q13.2,miRNA
ENSG00000227254,VDAC1P12,13,34656566,34657447,-1,q13.2,pseudogene
ENSG00000229373,LINC00452,13,114586640,114626485,1,q34,lincRNA
ENSG00000199196,,13,34674848,34674975,-1,q13.2,snoRNA
